
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1680          0          0          0        756   AmrDspDecoder.obj
      2392         18          0          0        889   AmrParser.obj
      3392          0          0       3084       3744   AudComUtil.obj
      1272         64          0          0        726   AudioDrain.obj
       272          0          0          0        231   BT_PcmLoopback.obj
      1730         32         12          0       1011   MedAdapt.obj
       578          0          0          0        703   PCMRB.obj
         0          0          0          0          0   PcmMixer.obj
       248          0          0          0        295   PcmRouteSrc.obj
      4264          2          0         68       1565   PcmSink.obj
       712          0          0          0        408   SeekEngine.obj
      1508          0          0          0        549   WavDecoder.obj
      1974          0          0          0        502   WavParser.obj
      6320        132          0          0       2912   afe_6261.obj
      3628         80          0        308       1983   afe_common.obj
     11416       1738          0        296       9204   am.obj
      1426          0          0        140       1087   amr.obj
      1032         32          0          0        359   amr_comp_drv.obj
         0          0          0          0          0   amr_seek.obj
         0       1336          0          0          0   amr_table.obj
      4636          0          0      19000       2687   apm_comp.obj
       868          0          0          0        486   ast.obj
         0          0          0          0          0   audioCF.obj
        24          0          0          0        156   audioPP.obj
        48         20          0          0        170   audio_create.obj
       122          0          0          0        342   audio_idma.obj
      3080          0          0        324       3146   audio_service.obj
       522          0          0         24        743   audlp2_drv.obj
       888          0          0         10        497   bt_sco_app.obj
      3856        212          0         28       1908   bt_sco_drv.obj
         0          0          0          0          0   bt_serial_sync_drv.obj
       156          0          0          0        114   dpmgr.obj
      2388          0         24        100        714   dtmf_drv.obj
      1370          0          0          0       1186   jamr.obj
       428          0          0         20        250   kt_Detect.obj
       322         25          5          2       1102   l1audio_sph_srv.obj
      1932          0          5          0       1546   l1audio_trace.obj
     11258        103          0        124      11653   media.obj
      1592          0          0         64       1919   media_avsync.obj
       850          0          0         48        788   pcm.obj
      1508          0          0         52       1808   pcm4way.obj
      2224          0          0         56       1269   pcmRouteService.obj
       808          0          0          0        635   pcm_strm_drv.obj
      3978        372          9       1612       4958   sp_drv.obj
       744         24          0          4        460   sp_enhance.obj
         2          0          0          0         52   spe_custom_drv.obj
         2          0          0          0         52   tone_debug.obj
      1832          0          0         60        935   tone_drv.obj
       400          0          0         24        240   tone_loopback_rec.obj
      1240        118          8         12        734   tonedect.obj
        90          0          0          0        128   tonesyn.obj
      2164          0          0        100        781   vm.obj
         8          0          0          0        104   vm_drv.obj
         0          0          0        188          0   wav.obj
       812        770          0          0        501   wav_codec.obj
      2034         32          0          0       1158   wav_comp_drv.obj
      3690          0          0        164       1646   wav_thumb.obj
     99720       5110         63      25912      71792   TOTAL

