
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       884          0          0         16        512   BtAccCtrl.obj
       714          0          0       1800        248   Btbm.obj
       268          0          0          0        208   BtbmBlocklist.obj
      6216         99          0          5       3032   BtbmCon.obj
      5792         15          0          0       2548   BtbmDev.obj
       316          0          0          0        200   BtbmProfilesCtrl.obj
       344          0          0          0        376   BtbmSdp.obj
      6440          0          0          0       2444   BtbmSec.obj
      1456          0          0          0       1248   BtbmSetting.obj
      2566         14          0         44       1148   MeRadio.obj
        68        345         10        256        364   bt_parseopts.obj
       280          0          0          0         68   bt_wifi_coexist_setting.obj
       300          0          0      61548        236   btalloc.obj
      7172         64          0        192       3256   conmgr.obj
       694          0          0         20        680   eventmgr.obj
      8884          0          4         64       1772   hci.obj
      1332         97          0          0        396   hci_evnt.obj
       668          0          0          0        568   hci_meta.obj
      3806        143          0          0       1220   hci_proc.obj
       676          0          0          0        276   hci_util.obj
      5646        381          0          0       2776   l2cap.obj
      2492          2          0          0       1748   l2cap_enhanced.obj
      7256        362          0          0       1120   l2cap_if.obj
      9176       1082          0          0       1260   l2cap_sm.obj
     11334         92          0          0       4076   l2cap_utl.obj
     12994         92         52          0       4580   me.obj
       640          0          0          0        260   meacc.obj
     14042         12          0          0       4876   mecon.obj
      1080          0          0          0        392   medev.obj
       620          0          0          0        264   meeir.obj
      9132          0          0          0       4744   meif.obj
      3398         12          0          0       1264   mesco.obj
         0          0          0          0          0   mescodat.obj
       886         50          0          0        492   mescoif.obj
      9296         12          0          0       3260   mesec.obj
      1572          0          0          0        516   radiomgr.obj
      4056        214          0          0       1432   rfc_ctl.obj
        88          0          0          0        124   rfc_fcs.obj
      5664         82          0          0       1452   rfc_sm.obj
      4838        135          0          0       1656   rfc_util.obj
      3794         71          0          0       1924   rfcomm.obj
     10178        544        213       1368       2480   sdap.obj
       948         90          0        696        384   sdap_devdb.obj
        28          0          0          0        120   sdp.obj
      3668         62          0          0        796   sdpclient.obj
      6392         59        108          6       1880   sdpserv.obj
      1596          0          0          0        616   sdputil.obj
        70          0          0          0        124   transprt.obj
      2444          0          0       1384       1076   uarttran.obj
    182204       4131        387      67399      66492   TOTAL

