
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       112          0         20          0        172   dhcp_create.obj
        92          0          8       1408         60   dhcp_init.obj
       676          0          0          2         80   dhcp_main.obj
       748         13          0          0        444   dhcp_pack.obj
      6474          0         36          0        764   dhcp_states.obj
       624          0          0          0        316   dhcp_timer.obj
      1920          0          0       1124        476   dhcp_unpack.obj
      5322          0          0          0       1868   dhcp_utils.obj
     15968         13         64       2534       4180   TOTAL

