
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1208          0          0          0        199   format.obj
      2642          8          0          9       2974   fs_func.obj
      6974         22          4         28       3703   fs_func_adv.obj
       896          0          0          0        946   fs_func_async.obj
      9302          6          1          1       2976   fs_internal.obj
       840          0          0          0       1057   fs_internal_api.obj
       882          0          8        324        855   fs_kal.obj
       258          0          0          0        179   fs_sst.obj
       294         20          2          0        497   fs_task.obj
       260          0         32          0        417   fs_usbms.obj
      1140         80          0          8       1521   fs_utility.obj
      1608          0         60         28       2280   fsal.obj
      1188          0          0          0        610   fsal_buffer.obj
       492          0          0          1        572   fsal_read.obj
       278          0          0          0        308   fsal_write.obj
      3118          0          0          0        833   rtfbs.obj
      2170          0          0       1221       1599   rtfbuf.obj
      8998        170          4         16       3561   rtfcore.obj
       950          0          8          0        845   rtfex.obj
     32196         74         12        181      10752   rtfiles.obj
     75694        380        131       1817      36684   TOTAL

