
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       494          0          0        100        478   bfc_decode_api.obj
       104        200          0          0        170   bfc_decode_feature_switch.obj
      1980         12          5         64       1380   color_api.obj
       304          0          0          0        609   color_drv_6260_series.obj
         0          0          0          0          0   color_drv_null_driver.obj
       178        716          0          0        139   drv_gfx_codec_limitation.obj
        16          0          0          0        208   drv_gfx_dct_control.obj
       124          0          0          0        126   drv_gfx_dynamic_switch.obj
       326          0          0         52        355   drv_gfx_hisr_ctrl.obj
       124          0          4          4        122   drv_gfx_l1sm_ctrl.obj
       352          0          4         13        254   drv_gfx_stack_switch_manager.obj
        70          0          0          0       1040   exif_enc_api.obj
         0          0          0          0          0   exif_enc_wrapper.obj
         0          0          0          0          0   exif_legacy.obj
        66          0          0          0        572   g2d_bitblt_api.obj
       916         12          0        412        949   g2d_common_api.obj
         0          0          0          0          0   g2d_drv_bitblt_6260_series.obj
      1100          0          0          8       1581   g2d_drv_common_6260_series.obj
         0          0          0          0          0   g2d_drv_font_6260_series.obj
         0          0          0          0          0   g2d_drv_lt_6260_series.obj
         0          0          0          0          0   g2d_drv_overlay_6260_series.obj
         0          0          0          0          0   g2d_drv_rectfill_6260_series.obj
        48          0          0          0        416   g2d_font_api.obj
       250          0          0         12        486   g2d_mutex.obj
       102          0          0          0        884   g2d_overlay_api.obj
       176          0          0          0        345   g2d_rectfill_api.obj
       142          0          0         68        947   ipp_interface.obj
      2356          0          0         16       2031   ivlw_decoder.obj
      2706         68          0          0       1686   ivlw_encoder.obj
       124          0          0          0       1612   jaia_api.obj
         0          0          0          0          0   jaia_utility.obj
         6          0          0          0        156   jpeg_drv_null_driver.obj
       112          0          0          0       1456   jpeg_encode_api.obj
         0          0          0          0          0   jpeg_mem_check.obj
       368          0          0          0        481   jpeg_misc_api.obj
      1572          0          0         72        907   lwp_decoder.obj
         0          0          0          0          0   mav_decoder.obj
         0          0          0          0          0   mav_encoder.obj
       756          0          0          0       1428   png_decode_api.obj
        12          0          0          0         52   png_decode_int.obj
         0          0          0          0          0   png_decoder_int_hw.obj
         0          0          0          0          0   png_decoder_int_sw.obj
         0          0          0          0          0   png_drv_6268_series.obj
         0          0          0          0          0   png_drv_6276_series.obj
       962          0          0          0       1128   rgb_resizer_api.obj
         0          0          0          0          0   rgb_resizer_int_hw.obj
       126          0          0          0        236   rgb_resizer_int_sw.obj
       968          0          0          0       1176   rgb_rotator_api.obj
         0          0          0          0          0   rgb_rotator_int_hw.obj
       130          0          0          0        170   rgb_rotator_int_sw.obj
      1630          0          0          0       1719   rs_buffer.obj
       170          0          0          0        337   simple_memory_manager.obj
       758          0          0          0        897   yuv_rotator_api.obj
         0          0          0          0          0   yuv_rotator_int_hw.obj
       146          0          0          0        170   yuv_rotator_int_sw.obj
     19774       1008         13        821      26703   TOTAL

