
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
        16          0          0          0         60   csm_main.obj
      2178          0          0          0       2160   csmcc_atfunc.obj
      7834          0          0          0       5480   csmcc_aux_msg_hdlr.obj
      6782          0          0          0       5844   csmcc_bc_func.obj
      1834          0          0          0       1048   csmcc_crss_proc.obj
      2424          0          0          0       1528   csmcc_facility_proc.obj
       476         17          0       1088        532   csmcc_init.obj
     10944          0          0          0       3744   csmcc_msg_hdlr.obj
      4710          0          0          0       3432   csmcc_utility.obj
     10414          8          0          0       3388   csmss_aux_msg_hdlr.obj
       104          0          0        492         68   csmss_init.obj
     14088          0          0          0       3388   csmss_msg_hdlr.obj
         0          0          0          0          0   csmss_reset.obj
       298         20          0          0        180   l4_create.obj
         0          0          0          0          0   l4_reset.obj
      3028         82          0          0       3196   l4c2tcm_func.obj
      1722          0          0          0       1664   l4c_bcm_cmd.obj
      3352          0          0          0       1840   l4c_bcm_msg.obj
      4450          0          0          0       2856   l4c_cc_cmd.obj
      6852          0          0          0       2920   l4c_cc_msg.obj
      2562          0          0          0       1228   l4c_ciss_cmd.obj
      6562          0          0          0       1356   l4c_ciss_msg.obj
         0          0          0          0          0   l4c_cmd_ft.obj
       164          0          0          0         64   l4c_data_cmd.obj
         0          0          0          0          0   l4c_dt_msg.obj
      1076        142          0          0       1196   l4c_em.obj
      5960          0          1         66       6780   l4c_eq_cmd.obj
      2508          0          0          0       2236   l4c_eq_msg.obj
         0        916          0          0          0   l4c_ft.obj
      2968          0          0          0       2836   l4c_gprs_cmd.obj
      3702          0          0          0       1800   l4c_gprs_msg.obj
      1040          0          0         12        700   l4c_gps_cmd.obj
       292          0          0        514        196   l4c_gps_msg.obj
       590          0          2        616        240   l4c_init.obj
      1616          0          0          0         76   l4c_main.obj
      2344          0          0          0       1444   l4c_msghdlr.obj
      2192          0          0          0       2584   l4c_nw_cmd.obj
      4258          0          0          0       1680   l4c_nw_msg.obj
      1752          0          0          0       2392   l4c_phb_cmd.obj
      3734          0          0          0       1312   l4c_phb_msg.obj
      1784          0          0          0       1788   l4c_sat_msg.obj
      1608          0          0          0       1496   l4c_sendmsg.obj
      4308          0          0          0       3924   l4c_sim_cmd.obj
      4158          0          0          0       1424   l4c_sim_msg.obj
      4264          0          0          0       4504   l4c_sms_cmd.obj
      3710          0          0          0       2372   l4c_sms_msg.obj
      3332          0          0          0       1112   l4c_ss_parse.obj
         0       2497          0          0          0   l4c_table.obj
      1526          0          0          0       1344   l4c_tcpip_cmd.obj
      2624          0          0          0       1472   l4c_tcpip_msg.obj
      1220          0          1          0        716   l4c_tst.obj
      8590          0          0          0       6332   l4c_utility.obj
        44          0          0       1520         60   layer4_init.obj
         0       1443          0          0          0   mcd_table_l4.obj
      1166          0          0          0       1796   rac2_funcs.obj
      3990          0          0          0       1828   rac2_hdlrs.obj
       716          0          0        140        208   rac2_main.obj
      3782          3          0          0       3392   rac2_others.obj
      2744          0          0          0        900   rmmi_analyzer.obj
      4152        166          0          0       1216   rmmi_basic_val.obj
      8178         16          0          0       3796   rmmi_ind.obj
       916         73          0      23652        504   rmmi_init.obj
       248          0          0          0         60   rmmi_main.obj
      4748          0          0          1       1780   rmmi_msghdlr.obj
         0       5879          0          0          0   rmmi_parser.obj
       284          0          0          0        448   rmmi_root.obj
      8750          3          0       2052       5904   rmmi_rsp.obj
      6672          0          0          0       2216   rmmi_rspfmttr.obj
       704          0          0          0       1288   rmmi_sio.obj
     14954        150          0          0       7788   rmmi_utility.obj
      3696       1779          0          0       1136   rmmi_validator.obj
      2240          0          0          0       1232   rmmi_validator_bcm.obj
      2922          0          0          0       1264   rmmi_validator_cc.obj
      3832          0          0          0       1120   rmmi_validator_ciss.obj
       676          0          0          0        216   rmmi_validator_data.obj
      4228          0          0          0       1404   rmmi_validator_em.obj
      3380         12          0          0       1496   rmmi_validator_eq.obj
         0        944          0          0          0   rmmi_validator_ft.obj
       836          0          0        200        288   rmmi_validator_gps.obj
      3588          0          0          0       1264   rmmi_validator_nw.obj
      2680          0          0          0        980   rmmi_validator_phb.obj
         0          0          0          0          0   rmmi_validator_phonesuite.obj
      5868          0          0          0       1644   rmmi_validator_sim.obj
      9536          0          0          0       1892   rmmi_validator_sms.obj
      7556         93          0          0       1688   rmmi_validator_tcm.obj
      2664          0          0          0        720   rmmi_validator_tcpip.obj
      8296         63          0          0       3352   smsal_cb.obj
      2470          0          0          0       1104   smsal_checks.obj
      1126          0          0          0        520   smsal_init.obj
      3056        226          0         30       2424   smsal_l4c_funcs.obj
      6448         48          0          0       3036   smsal_l4c_msgs.obj
       256          0          0          0        112   smsal_main.obj
      5134          0          0          0       2100   smsal_modi_peer_rest.obj
      8776          0          0          0       3776   smsal_msg_proc.obj
      1234          0          0          0        536   smsal_msgbox.obj
      4348          0          0          0       3104   smsal_other_funcs.obj
      3112          0          0          0       1360   smsal_parameter.obj
        68          0          0          0         60   smsal_reset.obj
      1972          0          0          0        856   smsal_sms.obj
      7602          0          0          0       3156   smsal_storage.obj
       540         12          0          0        632   smsal_timer.obj
      8348         99          0          0       3372   smsal_transport_proc.obj
       854          8          0       1394        876   smsal_utils.obj
     13258          0          0          8       4112   smu_handler.obj
       112          0          4        168         68   smu_init.obj
       364          0          0          0         68   smu_main.obj
         8          0          0          0        104   tcm_api.obj
      7476         12          0          0       2732   tcm_cntxt_data.obj
      3332          0          0          0       1816   tcm_cntxt_data_aux.obj
        38          0          0          0         60   tcm_cntxt_data_checks.obj
         0        252          0          0          0   tcm_cntxt_data_ft.obj
