
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       848        171          0          0        140   ape_parser.obj
      2446          2          0         16       4613   aud_api.obj
      2724          0          0          2       1763   aud_audio.obj
        10          0          0          0        208   aud_bt_a2dp.obj
      1462          0          0         48       1000   aud_build_cache.obj
      3074        156          0          0        694   aud_daf_parser.obj
       298          0          0          0        759   aud_fmradio.obj
      2164       1401        664        648       1107   aud_id3_parser.obj
      3936          0          0          0       5466   aud_ilm.obj
       542          0          0         48        558   aud_input_stream.obj
       152          0          0          0        246   aud_keytone.obj
       784          0          4          0        303   aud_main.obj
      3330          0          0         28       1729   aud_media.obj
       324          0          0          1        414   aud_melody.obj
      4164          0          0        144       2461   aud_mma.obj
      1824          0          0          0        829   aud_player_media.obj
         4          0          0          0         52   aud_player_mma.obj
         4          0          0          0         52   aud_player_mpl.obj
         0          0          0          0          0   aud_post_process.obj
      1064          0          0          1        916   aud_record.obj
      2716         37          0          8       1467   aud_recorder_media.obj
       916          0          0        322       1237   aud_speech.obj
       192          3          0          0        353   aud_tone.obj
      1048          0          4          4       1281   aud_utility.obj
      1486          0         80        240       1810   bytestream_hw.obj
         0          0          0          0          0   id3_v1_parser.obj
      3258        255          0          0        620   id3_v2_parser.obj
         0          0          0          0          0   img_api.obj
         0          0          0          0          0   img_ilm.obj
         0          0          0          0          0   img_main.obj
         0          0          0          0          0   img_msg_handler.obj
      4228         16          0          4       1213   lyrics_parser.obj
        94          0          0          0        295   med_api.obj
      1162          0          0         32       1003   med_ext_smalloc.obj
         0          0          0          0          0   med_ilm.obj
         0          0          0          0          0   med_int_smalloc.obj
       560         35          4      92076        638   med_main.obj
      2874       1024          0        172       2167   med_utility.obj
       290         20          4         12        441   med_v_main.obj
      2526         28         24          8       1443   meta_tag_api.obj
       218         25         24          0        221   meta_tag_parser.obj
         0          0          0          0          0   vid_api.obj
         0          0          0          0          0   vid_clipper_msg_handler.obj
         0          0          0          0          0   vid_ilm.obj
         0          0          0          0          0   vid_main.obj
         0          0          0          0          0   vid_msg_handler.obj
         0          0          0          0          0   vid_msg_handler_modis.obj
         0          0          0          0          0   vid_recorder_msg_handler.obj
         0          0          0          0          0   webcam_api.obj
         0          0          0          0          0   webcam_ilm.obj
         0          0          0          0          0   webcam_main.obj
         0          0          0          0          0   webcam_msg_handler.obj
     50722       3173        808      93814      37499   TOTAL

