
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      4074          0          0          0       2568   mm_common_construct_msgs.obj
      9752         34          0          0       8328   mm_common_funcs.obj
      1492          0          0          0        780   mm_cs_common_proc.obj
      3636          0          0          0       1272   mm_cs_conn_mgmt.obj
       920          0          0          0        204   mm_cs_detach.obj
      3052          0          0          0       1140   mm_cs_loc_update.obj
      1514          0          0          0        652   mm_cs_mocall.obj
      1064          0          0          0        536   mm_cs_mtcall.obj
      3348         46          0          0       2668   mm_cs_other.obj
      1512          0          0          0        832   mm_cs_pack.obj
      1108          0          0          0        648   mm_cs_peermsghdlr.obj
      2006          0          0          0       1440   mm_cs_timer.obj
      1132          0          0          0        848   mm_cs_unpack.obj
      2112          0          0          0        908   mm_ctrl_attach.obj
       204          0          0          0        136   mm_ctrl_auth.obj
      5224          0          0          0       1144   mm_ctrl_cell_proc.obj
      3064          0          0          0        684   mm_ctrl_detach.obj
     10662          0          0          0       3344   mm_ctrl_ilm_com.obj
       664          0          0          0        264   mm_ctrl_ilm_cs.obj
       920          0          0          0        256   mm_ctrl_ilm_ps.obj
      1802         20          0       1764        748   mm_ctrl_main.obj
      1206          0          0          0        684   mm_ctrl_msgs.obj
      1852          0          0          0        992   mm_ctrl_peermsgs.obj
      9322          2          0          0       6340   mm_ctrl_plmn_search.obj
      2792          0          0          0        896   mm_ctrl_routing.obj
       870          0          0          0        624   mm_ctrl_timer.obj
       828          0          0          0        424   mm_ps_attach.obj
       414          0          0          0        244   mm_ps_attach_aux.obj
       424          0          0          0        136   mm_ps_auth.obj
      1640          0          0          0        540   mm_ps_cause_handler.obj
      1548          0          0          0        712   mm_ps_common_proc.obj
       740          0          0          0        384   mm_ps_conn.obj
      1096          0          0          0        448   mm_ps_detach.obj
      3376          0          0          0       3208   mm_ps_other.obj
      3170          0          0          0       1948   mm_ps_other_aux.obj
      1980          0          0          0        856   mm_ps_pack.obj
       412          0          0          0        544   mm_ps_peermsgs.obj
      1196          0          0          0        572   mm_ps_routing.obj
       112          0          0          0        128   mm_ps_service.obj
       518          0          0          0        528   mm_ps_timer.obj
       642          0          0          0        384   mm_ps_timer_aux.obj
      3134          2          0          0       1748   mm_sim_access.obj
     96534        104          0       1764      51740   TOTAL

