
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       468         21          0          0        192   aaa_fsm.obj
      8906        857         48          0       2920   ais_fsm.obj
      2984        236        108          0        848   assoc.obj
      1974        135         16          0        748   auth.obj
      4302        593        168          0       1444   bss.obj
       278          0          0          0        200   cmd_buf.obj
       782          0          0          0        712   cnm.obj
      1966         20          0          0       1072   cnm_mem.obj
       972         54          0          0        580   cnm_timer.obj
      2128        483          0          0        148   dump.obj
        64          0          4          5         60   gl_hpi.obj
      4212         29          0      36368       3788   gl_kal.obj
       692          0          0          0       1236   gl_rftest.obj
       662        559        288          0        508   hem_mbox.obj
         0          0          0          0          0   hif_emu.obj
         0         52          0          0          0   mib.obj
        24     140736          0          8         52   mt5931_firmware.obj
     10696        203         48       7520       3532   nic.obj
      3194          0          0          0       1848   nic_cmd_event.obj
       956          0          0          0        272   nic_pwr_mgt.obj
      5542         92         64          0       1704   nic_rx.obj
      4738          0          0          0       1420   nic_tx.obj
      1758        206          0          0        848   privacy.obj
      8710         33          0          0       2988   que_mgt.obj
       314         30          0          0        260   rate.obj
      2726         43          0          0       1388   rlm.obj
       632        141        660          0        280   rlm_domain.obj
      1212         54          0          0        320   rlm_obss.obj
         0          0          0          0          0   rlm_protection.obj
      1312         24          0          0        708   roaming_fsm.obj
      9020        959          0          0       1372   rsn.obj
      2496        165          0         16        756   saa_fsm.obj
      7558        999          0          0       1360   scan.obj
      1364          0          0          0        464   scan_fsm.obj
      3920        639         28          4       1096   sec_fsm.obj
       936        384          0          0        140   sms4.obj
      3436         81          0         28        780   swcr.obj
         0          0          0          0          0   wapi.obj
         0          0          0          0          0   wlan_bow.obj
       266          0          0          0        272   wlan_kal.obj
     15396       1130        121      38208       4140   wlan_lib.obj
     26328       2411          0          4       7236   wlan_oid.obj
       916         20          0       1054        192   wndrv_create.obj
      9410        132          5       4001       1624   wndrv_inject_msg.obj
       456         76          0          0         68   wndrv_main.obj
      3552          0          0       2007       1288   wndrv_misc.obj
      6190         99        192          8       3368   wndrv_rftest_func.obj
      9456         97         12         24       2948   wndrv_supc_func.obj
    172904     151793       1762      89255      57180   TOTAL

