
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       636          0          0          0        332   a_bitstr.obj
       168          0          0          0        136   a_bool.obj
       874          0          0          0        304   a_bytes.obj
       428          0          0          0        204   a_d2i_fp.obj
       162          0          0          0        144   a_digest.obj
       176          0          0          0        132   a_dup.obj
       444          0          0          0        264   a_enum.obj
       488          0         72          0        216   a_gentm.obj
       432          0          0          0        268   a_hdr.obj
       216          0          0          0        144   a_i2d_fp.obj
      1206          0          0          0        604   a_int.obj
      1072          0          0          0        604   a_mbstr.obj
        16          0         32          0        104   a_meth.obj
      1216          0          0          0        616   a_object.obj
        24          0          0          0        180   a_octet.obj
       236          0          0          0        128   a_print.obj
       724          0          0          0        216   a_set.obj
       748          0          0          0        144   a_sign.obj
      1722         50        128          0        772   a_strex.obj
       610          0        384          4        612   a_strnid.obj
       304         38          0          0        436   a_time.obj
        90          0          0          0        180   a_type.obj
       702          0         64          0        288   a_utctm.obj
       626          0          0          0        136   a_utf8.obj
       388          0          0          0        144   a_verify.obj
         0          0          0          0          0   aes_cbc.obj
         0          0          0          0          0   aes_cfb.obj
         0          0          0          0          0   aes_core.obj
         0          0          0          0          0   aes_ctr.obj
         0          0          0          0          0   aes_ecb.obj
         0          0          0          0          0   aes_ige.obj
         0          0          0          0          0   aes_misc.obj
         0          0          0          0          0   aes_ofb.obj
      2232        375        564          4        568   asn1_gen.obj
      1214         41          0          0       1452   asn1_lib.obj
      1648        356        124          0        340   asn1_par.obj
       312          0          0          0        252   asn_moid.obj
       536          0          0          0        400   asn_pack.obj
       532          0          0          0        324   b_dump.obj
      2484          0          0          0        780   b_print.obj
      1304          7         40          0        592   bf_buff.obj
      1472         16         40          0        456   bio_b64.obj
       954          7         40          0        532   bio_enc.obj
      1704          0          0          0       2276   bio_lib.obj
       424         15         40          0        504   bio_md.obj
       622          0          0          0        276   bn_add.obj
     12122          0          0          0        716   bn_asm.obj
       830          0          0          0        728   bn_blind.obj
       160       3360          0          0        480   bn_const.obj
       650          0          0          0        448   bn_ctx.obj
         0          0          0          0          0   bn_depr.obj
      1604          0          0          0        152   bn_div.obj
      3398          0          0          0        588   bn_exp.obj
       916          0          0          0         76   bn_exp2.obj
      1712          0          0          0        288   bn_gcd.obj
      3374         64          0          0       1440   bn_gf2m.obj
       440         32          0          0         76   bn_kron.obj
      1656        302         24          0       1616   bn_lib.obj
       630          0          0          0        724   bn_mod.obj
      1262         10          0          0        540   bn_mont.obj
       248          0          0          0        132   bn_mpi.obj
      3600          0          0          0        664   bn_mul.obj
      1770       4096          0          0        576   bn_prime.obj
      1094         17          0          0        356   bn_print.obj
       682          0          0          0        464   bn_rand.obj
       672          0          0          0        464   bn_recp.obj
       628          0          0          0        276   bn_shift.obj
       652          0          0          0        224   bn_sqr.obj
      1202          0          0          0         76   bn_sqrt.obj
       530          0          0          0        336   bn_word.obj
       732         13         40          0        564   bss_file.obj
       658         14         40          0        584   bss_mem.obj
        88          5         40          0        424   bss_null.obj
       422          7         40          0        604   bss_sock.obj
       240          0          0          0        312   buf_str.obj
       324          0          0          0        256   buffer.obj
        16          0          0          0         60   c_all.obj
       400          0          0          0         60   c_allc.obj
       236          0          0          0         60   c_alld.obj
         0          0          0          0          0   cbc_cksm.obj
         0          0          0          0          0   cbc_enc.obj
         0          0          0          0          0   cfb64ede.obj
         0          0          0          0          0   cfb64enc.obj
         0          0          0          0          0   cfb_enc.obj
       614          0          0          0        696   conf_api.obj
      2040         60        552          0        908   conf_def.obj
       768         40          0          4       1104   conf_lib.obj
       132          0          0          0         76   conf_mod.obj
       226          0          0         12        680   cryptlib.obj
       272          0          0          0        148   d2i_pr.obj
       172          0          0          0         76   d2i_pu.obj
         0          0          0          0          0   des_enc.obj
        74        126          0          0        180   dh_asn1.obj
       282          0          0          0        136   dh_check.obj
         0          0          0          0          0   dh_depr.obj
       320          0          0          0        132   dh_gen.obj
       626         18         36          0        480   dh_key.obj
       488         50          0          4        668   dh_lib.obj
       670          0          0          0        736   digest.obj
       410        655          0          0        816   dsa_asn1.obj
         0          0          0          0          0   dsa_depr.obj
      1100          0          0          0        144   dsa_gen.obj
       218          0          0          0        132   dsa_key.obj
       556         39          0          4        672   dsa_lib.obj
      1256         19         48          0        388   dsa_ossl.obj
        18          0          0          0        116   dsa_sign.obj
        70          0          0          0        120   dsa_utl.obj
        12          0          0          0         64   dsa_vrf.obj
       152        156          0          0        468   e_aes.obj
        66         52          0          0        236   e_des.obj
        92        104          0          0        348   e_des3.obj
        32         52          0          0        164   e_null.obj
         0          0          0          0          0   e_old.obj
       566        312          0          0        848   e_rc2.obj
        72        104          0          0        288   e_rc4.obj
       104         52          0          0        188   e_xcbc_d.obj
         0          0          0          0          0   ecb3_enc.obj
         0          0          0          0          0   ecb_enc.obj
         0          0          0          0          0   ede_cbcm_enc.obj
       722         94          0          0        488   enc_min.obj
      1074          0        193          0        516   encode.obj
       892          0        152          0       1132   err.obj
      1726         44          4         60       1916   err_def.obj
       432          0          0        256        204   err_prn.obj
         2          0          0          0         52   err_str.obj
       534          0          0          0        280   evp_asn1.obj
      1302         39          0          0       1216   evp_enc.obj
       402          0          0         80        240   evp_key.obj
       492          0          0          0       1404   evp_lib.obj
       356          0          0          4        264   evp_pbe.obj
      1700          0          0          0        896   evp_pkey.obj
      1800          0         28          8       1572   ex_data.obj
       580         17          4          0        140   f_enum.obj
       604         17          4          0        140   f_int.obj
       556         17          4          0        152   f_string.obj
         0          0          0          0          0   fcrypt.obj
         0          0          0          0          0   fcrypt_b.obj
         0          0          0          0          0   hmac.obj
        64          0          0          0         64   i2d_pr.obj
        64          0          0          0         64   i2d_pu.obj
      1028         41          0          0        836   lhash.obj
        42         72          0          0        232   m_dss.obj
        42         72          0          0        232   m_dss1.obj
        42         72          0          0        232   m_md2.obj
        64         72          0          0        352   m_md4.obj
        64         72          0          0        352   m_md5.obj
        20         72          0          0        208   m_null.obj
        64         72          0          0        352   m_sha1.obj
       452       1063          0          0        320   md2_dgst.obj
        60          0          0         16         72   md2_one.obj
         0          0          0          0          0   md4_dgst.obj
         0          0          0          0          0   md4_one.obj
         0          0          0          0          0   md5_dgst.obj
         0          0          0          0          0   md5_one.obj
      1518        114         24       1103        460   md_rand.obj
       820          0         20         52       1088   mem.obj
        56          0          0          1         64   mem_clr.obj
      2046          0          0         32       1436   mem_dbg.obj
       182          0          0          0        304   names.obj
       456          0          0          0        140   o_dir.obj
      1020          0          4         12        960   o_names.obj
         8          0          0          0         60   o_time.obj
      2504      49245       5726          4       1576   obj_dat.obj
       254          0          0          0        128   obj_lib.obj
         0          0          0          0          0   ofb64ede.obj
         0          0          0          0          0   ofb64enc.obj
         0          0          0          0          0   ofb_enc.obj
       612          0          0          0        136   p5_crpt.obj
       654          0          0          0        148   p5_crpt2.obj
       336         87          0          0        316   p5_pbe.obj
       644        241          0          0        556   p5_pbev2.obj
        92        184          0          0        300   p8_pkey.obj
        60          0          0          0         64   p_dec.obj
        60          0          0          0         64   p_enc.obj
      1028          0          0          0       1104   p_lib.obj
       216          0          0          0        140   p_open.obj
       186          0          0          0        140   p_seal.obj
       192          0          0          0         76   p_sign.obj
       204          0          0          0         76   p_verify.obj
         0          0          0          0          0   pcbc_enc.obj
      1056          0          0          0       1376   pem_all.obj
      1080          0          0          0        156   pem_info.obj
      3700         69          0          0        792   pem_lib.obj
       100          0          0          0         72   pem_oth.obj
       796          0          0          0        696   pem_pk8.obj
       456          0          0          0         76   pem_pkey.obj
       604          0          0          0        216   pem_seal.obj
       122          0          0          0        192   pem_sign.obj
        88          0          0          0        128   pem_x509.obj
       208          0          0          0        256   pem_xaux.obj
         0          0          0          0          0   qud_cksm.obj
         0          0          0          0          0   rand_key.obj
       232          0          0          4        492   rand_lib.obj
      1156          0          0          0        212   rc2_cbc.obj
       100         39          0          0         64   rc2_ecb.obj
       148          0        256          0         64   rc2_skey.obj
       278          0          0          0         72   rc2cfb64.obj
       228          0          0          0         72   rc2ofb64.obj
         0          0          0          0          0   rc4_enc.obj
        20         39          0          0         52   rc4_skey.obj
