
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   crypto_hash.obj
       300          0          0          0        200   ossl_aes.obj
      9068          0          0          0         80   ossl_crypto_trc.obj
       588          0          0          0        456   ossl_des.obj
       674          0          0          0        752   ossl_fs.obj
       482          0          0         64        520   ossl_hmac.obj
       300          2          0         16        392   ossl_md4.obj
       300          2          0         16        392   ossl_md5.obj
       888          0          0        312        132   ossl_mutex.obj
      5884          0          0          0         80   ossl_pki_trc.obj
       172          0          0          0        196   ossl_rc4.obj
       312          2          0         20        392   ossl_sha.obj
      7268          0          0          0         80   ossl_ssl_trc.obj
       156          0          0          4        244   ossl_time.obj
       380          0        160          0        344   ossl_trace.obj
         0          0          0          0          0   ossl_ut.obj
     26772          6        160        432       4260   TOTAL

