
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1116         37         40          0        408   by_dir.obj
       780         21         40          0        336   by_file.obj
         0          0          0          0          0   ocsp_asn.obj
         0          0          0          0          0   ocsp_cl.obj
         0          0          0          0          0   ocsp_ext.obj
         0          0          0          0          0   ocsp_lib.obj
         0          0          0          0          0   ocsp_vfy.obj
       750          0          0          0        668   p12_add.obj
       256       1056          0          0        960   p12_asn.obj
       246          0          0          0        428   p12_attr.obj
       392          0          0          0        136   p12_crpt.obj
       994          0          0          0        484   p12_crt.obj
       476          0          0          0        224   p12_decr.obj
       120          0          0          0         64   p12_init.obj
       716          0          0          0        152   p12_key.obj
       904          0          0          0        300   p12_kiss.obj
       656          0          0          0        288   p12_mutl.obj
       648          0          0          0        292   p12_npas.obj
        32          0          0          0         60   p12_p8d.obj
       160          0          0          0         76   p12_p8e.obj
       356          0          0          0        496   p12_utl.obj
       648          0          0          0        444   pcy_cache.obj
       176          0          0          0        128   pcy_data.obj
       152          0          0          0        484   pcy_lib.obj
       386          0          0          0        192   pcy_map.obj
       258          0          0          0        384   pcy_node.obj
      1620          0          0          0        692   pcy_tree.obj
       708       2091          0          0       2640   pk7_asn1.obj
       340          0          0          0        204   pk7_attr.obj
      3878          0          0          0       1212   pk7_doit.obj
      1886          0          0          0       1124   pk7_lib.obj
      3110          0          0          0        948   pk7_mime.obj
      2008          0          0          0        388   pk7_smime.obj
      7756        187          0          0       5192   str_lib.obj
       226          0          0          0       1684   str_meth.obj
         0          0          0          0          0   v3_addr.obj
       552         56          0          0        140   v3_akey.obj
        64        124          0          0        240   v3_akeya.obj
      2454        112          0          0        848   v3_alt.obj
         0          0          0          0          0   v3_asid.obj
       320        153          0          0        372   v3_bcons.obj
       274        317        120          0        140   v3_bitst.obj
      1488          0         16          0       1228   v3_conf.obj
      2384        673          0          0       1780   v3_cpols.obj
       544        385          0          0        864   v3_crld.obj
        48        304        108          0         64   v3_enum.obj
       300        198          0          0        376   v3_extku.obj
       256        627          0          0        960   v3_genn.obj
       604        298          0          0        692   v3_info.obj
        10        168          0          0         60   v3_int.obj
       760          0         84          4        760   v3_lib.obj
       716        301          0          0        528   v3_ncons.obj
         0          0          0          0          0   v3_ocsp.obj
      1316         56          0          0        220   v3_pci.obj
       128        232          0          0        480   v3_pcia.obj
       384        186          0          0        252   v3_pcons.obj
       192        161          0          0        304   v3_pku.obj
       340        258          0          0        268   v3_pmaps.obj
       796          0          0          0        288   v3_prn.obj
      2064        189        260          4       1808   v3_purp.obj
       294         56          0          0        196   v3_skey.obj
       930        228          0          0       1040   v3_sxnet.obj
      2974         17          0          0       1972   v3_utl.obj
      1218          0          0          0       1264   x509_att.obj
      1196          0          0          0       1248   x509_cmp.obj
       364          0          0          0        264   x509_d2.obj
       120          0          0          0        312   x509_def.obj
       348          0          0          0       1632   x509_ext.obj
      1640          0          0          0       1776   x509_lu.obj
       536          0         17          0         76   x509_obj.obj
       296          0          0          0        436   x509_set.obj
       734         88        172          4       1020   x509_trs.obj
      1908          0          0        100         72   x509_txt.obj
       726          0          0          0        940   x509_v3.obj
      4312         41          0          0       3100   x509_vfy.obj
       782        207          0          4       1252   x509_vpm.obj
       318          0          0          0        444   x509cset.obj
      1224          0          0          0       1200   x509name.obj
       140          0          0          0         68   x509type.obj
       770          0          0          0       2072   x_all.obj
     68578       8827        857        116      54144   TOTAL

