
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       430          0          0          4        504   DclH_kbd.obj
       242          0          0          0        283   DclS_kbd.obj
       366          0         56         68        787   Dcl_SeriPortDrv.obj
         0          0          0          0          0   Dcl_extuartdrv.obj
      1736          0         48          7       1606   accdet.obj
      1356          0          1        103       1326   adc.obj
       382          0          4          8        427   adc_msg_handle.obj
       976         24        168          4        817   adcmeasure.obj
      2056          0          1       2100       1197   adcsche.obj
        36          0          0          1        676   alerter.obj
       652         20          0          8        540   auxmain.obj
         4          0          0          0        104   dbgprint.obj
      1232          0         48        484       1002   dcl_adc.obj
       336          0          0         11        450   dcl_aux.obj
      1602          0          8         41       2147   dcl_chr_det.obj
      1086          2        212          0        772   dcl_common.obj
       540          0         48         16        423   dcl_eint.obj
       232          0          0          4        437   dcl_f32k_clk.obj
       486          0         28          0        498   dcl_gpio.obj
      1314          0          0        581       1284   dcl_gpt.obj
      1122          0          2         26       1233   dcl_gpt_hw.obj
        24          0          0          4        208   dcl_hts.obj
       696          0         28          0        645   dcl_i2c.obj
         0          0          0          0          0   dcl_i2c_dual.obj
         0          0          0          0          0   dcl_irda.obj
        48          0          0          0        416   dcl_pfc.obj
       114          0         28          8        434   dcl_pmu.obj
      2278       1646          0         64       1822   dcl_pmu6261.obj
       304          0          0          0         61   dcl_pmu6261_init.obj
       332          0          0          0        367   dcl_pmu_common.obj
      1874          0          0         20        955   dcl_pw.obj
       562          0         28         24        675   dcl_pwm.obj
        48          0          0          0        416   dcl_pxs.obj
       970          0          0        132        557   dcl_rtc.obj
       400          0         80          0        511   dcl_spi_slave.obj
        42          0          0          0        364   dcl_sts.obj
       610          0          0         48        701   dcl_wdt.obj
      2158          0          1          0       1044   drv_comm.obj
       270          0          0        392        291   drv_hisr.obj
         0          0          0          0          0   ext_uart.obj
         0          0          0          0          0   ext_uart_handler.obj
       570          0          0          0        659   f32k_clk.obj
       950        104          0          2       1392   gpio.obj
      6480        415          2         32       1123   gpt_udvt_test.obj
         0          0          0          0          0   hif_legacy.obj
         0          0          0          0          0   hif_v1.obj
         0          0          0          0          0   hif_v2.obj
      1008          0          0        330        503   i2c.obj
         0          0          0          0          0   i2c_dual.obj
      5418          0          0        194        896   i2c_udvt_test.obj
         0          0          0          0          0   kbd_jogball.obj
      2406         23          1        103       1809   kbdmain.obj
        14          0          0          0        364   lpwr.obj
         0          0          0          0          0   motion_sensor.obj
         8          0          0          0        156   nli_arb.obj
         0          0          0          0          0   pfc.obj
       786          0         68         30        876   pwm.obj
      4358          0          0         56       3540   rtc.obj
         0          0          0          0          0   rwg.obj
      2336          0          0         86       2085   spi.obj
      1534          0         28        108        992   spi_hal.obj
      1760          0         48         16       1438   spi_slave.obj
      2294          0          4         65       1282   sw_keypad.obj
         0          0          0          0          0   touch_panel.obj
         0          0          0          0          0   touch_panel_main.obj
         0          0          0          0          0   ts_drv.obj
      8286         84        132        357       5707   uart.obj
      1256          0          8        272         77   uart_handler.obj
      2836          0        372          8       1180   uart_vfifo.obj
       632          0          4          1        929   wdt.obj
     69848       2318       1456       5818      50988   TOTAL

