
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       248          0          0          0        328   ppp_buff_mgr.obj
         0        512          0          0          0   ppp_crc.obj
       256         20          4       5476        232   ppp_create.obj
         4          0          0          0         52   ppp_csd_ext_msg.obj
      2532          5          0          0       1608   ppp_ext_msg.obj
      5132          1          0          0       2856   ppp_fsm.obj
      2366         68          0         80        892   ppp_ipcp.obj
      3366         68          0         96        988   ppp_lcp.obj
       470          0          0          4        476   ppp_main.obj
      1342          0          0          0        284   ppp_read_in.obj
       778          0          0          0        312   ppp_write_out.obj
     16494        674          4       5656       8028   TOTAL

