
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       136         20          0        216        180   ratdm_create.obj
       244          0          0          0        244   ratdm_extern_func.obj
      1446          0          0          0       1124   ratdm_gsm_handlers.obj
       244          0          0          0         60   ratdm_main.obj
      1082          0          0          0        412   ratdm_npdu_process.obj
      1936          0          0          0       1352   ratdm_signalling.obj
       600          0          0          0        368   ratdm_tcm_data_plane.obj
       712          0          0          0        692   ratdm_utils.obj
      6400         20          0        216       4432   TOTAL

