
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1532          0          0          0        460   acs_common_access_proc.obj
      1028          0          0          0        492   acs_common_ctrl_hdlr.obj
      3076          0          0          0        796   acs_dedi_access_proc.obj
      3016          0          0          0        612   acs_pkt_access_proc.obj
       898          0          0          0        648   acs_utils.obj
      1802          0          0          0       2596   csn_common.obj
       142          0          0          0        372   csn_memory.obj
      2972          0          8          0       1216   csn_special.obj
      1712          0          0          0        536   csrr_ded_access.obj
      5354          0          0          0       1728   csrr_ded_proc.obj
      2824          0          0          0        740   csrr_recv_lapdm_mesgs.obj
         0          0          0          0          0   csrr_recv_mac_mesgs.obj
       956          0          0          0        448   csrr_recv_mm_mesgs.obj
      2544          0          0          0        732   csrr_recv_mpal_mesgs.obj
       528          0          0          0        632   csrr_send_ext_msg.obj
      4146          0          0          0       1900   csrr_send_int_msg.obj
      5590          0          0          0       2324   csrr_utils.obj
      1288          0          0          0       1844   gprs_rlcmac_common_rest.obj
     19704          0          0          0      14264   gprs_rlcmac_dl_rest.obj
     13888          0          0          0      12440   gprs_rlcmac_peer_rest.obj
      7812          0          0          0       6512   gprs_rlcmac_ul_rest.obj
      1750          0          0          0        272   lapdm_frame_funcs.obj
       646        360          0        632        372   lapdm_main.obj
      6888         23          0          0       1344   lapdm_recv_mpal_msgs.obj
      3266          0          0          0       1284   lapdm_recv_rr_msgs.obj
      1028          0          0          0        428   mac_alloc_mode_hdlr.obj
      4350          2          0          0       3004   mac_common_ctrl_hdlr.obj
      6780          0          0          0       1028   mac_data_blk_hdlr.obj
      4122          0          0          0       1268   mac_dl_ctrl_hdlr.obj
      1956        484          0        960       1276   mac_main.obj
      2392          0          0          0        432   mac_pa_ctrl_hdlr.obj
      2650          0          0          0       1832   mac_sendmsgs.obj
      2960         16          0          0       1516   mac_timer_hdlr.obj
      4396         76          0          0       1320   mac_ul_ctrl_hdlr.obj
      7132          0          0          0       1184   mac_ul_dl_ctrl_hdlr.obj
      7016        215          0          0       4328   mac_utils.obj
       808          0          0       1968        204   meas_config.obj
         0          0          0          0          0   meas_funcs.obj
      1584          0          0          0       1832   meascell_rest.obj
      1230          0          0          0       1064   mpal_gprs_common_func.obj
      3088          4          0          0        548   mpal_gprs_dl_func.obj
      1568          0          0          0       1020   mpal_gprs_dl_msg_hdlr.obj
      3164          0          0          0        924   mpal_gprs_ul_func.obj
      1478          0          0          0       1112   mpal_gprs_ul_msg_hdlr.obj
       186          0          0          0        180   mpal_gsm_common_func.obj
       588         20          0          0        740   mpal_gsm_dl_func.obj
      2578          0          0          0       2316   mpal_gsm_dl_msg_hdlr.obj
       124          0          0          0        184   mpal_gsm_timer_hdlr.obj
      1210         33          0          0       1040   mpal_gsm_ul_func.obj
      2956          0          0          0       2176   mpal_gsm_ul_msg_hdlr.obj
       836        376          0        879        592   mpal_main.obj
       434          0          0          0        436   nstd_alloc_bitmap_pun.obj
       294          0          0          0        316   nstd_extension_bit_pun.obj
      1876          0          0          0       2184   nstd_mobile_alloc_peer_pun.obj
       670          0          0          0        620   nstd_pkt_meas_report_pun.obj
      1608          0          0          0       1652   nstd_pmo_pun.obj
         0          0          0          0          0   psi.obj
         0          0          0          0          0   psi_config.obj
       926          0          0          0        196   psi_msg_decode.obj
      1694          0          0          0        776   psi_si_utils.obj
     11468          0          0          0       3776   rcs_cell.obj
      1216          6          0         88        880   rcs_init.obj
      3488          0          0          0       1268   rcs_plmn.obj
      1200          0          0          0        512   rcs_process.obj
      2750          0         53          0        556   reasm_llc_pdu_hdlr.obj
       266         32          0         36        344   reasm_main.obj
       470          0          0          2        208   reasm_sendmsgs.obj
      2796          0          0          0        684   rlc_ctrl_msg_hdlr.obj
       800          0          0          0        324   rlc_dl_ctrl_msg_hdlr.obj
      2158          0          0          0        400   rlc_dl_data_blk_hdlr.obj
         4          0          0          0        104   rlc_halfduplex_hdlr.obj
      4974          0          0          0       1632   rlc_llc_pdu_hdlr.obj
      1650         72          0       7342       1040   rlc_main.obj
       584        412          0          0       1004   rlc_msg_hdlr.obj
      3148          0          0          0        504   rlc_segment.obj
      3652          0          0          0       1392   rlc_sendmsgs.obj
      1854          0          0          0        560   rlc_test_mode.obj
       804          0          0          0        516   rlc_timer_hdlr.obj
      4568          0          0          0       1400   rlc_ul_data_blk_hdlr.obj
       144          0          0          0        288   rlc_util.obj
      6940        417          0          0       1732   rmc_cb.obj
      4696          0          0          0       1584   rmc_cell_resel.obj
      3512          0          0          0        904   rmc_common_access.obj
      4162          0          0          0        712   rmc_dedicated_meas.obj
       728          0          0          0        408   rmc_dedicated_proc.obj
      1214          0          0          0        420   rmc_gmm_procs.obj
      4232          0          0          0       1396   rmc_gprs_cell_resel.obj
