
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   rrlp_cp_hdlrs.obj
       132         20          0         48        176   rrlp_create.obj
         0          0          0          0          0   rrlp_gas_hdlrs.obj
       500          0          0          0        316   rrlp_gps_hdlrs.obj
      3372          0          4       4880       1160   rrlp_int_hdlrs.obj
         4          0          0          0        104   rrlp_l4c_hdlrs.obj
       100          0          0          0        120   rrlp_main.obj
       218          2          0      10240        364   rrlp_mem.obj
      9838          0          0          0       7424   rrlp_r5_asn_decode.obj
      9498          0          0          0       9420   rrlp_r5_asn_encode.obj
         0          0          0          0          0   rrlp_send_gas_msgs.obj
      1484          0          0          0        280   rrlp_send_gps_msgs.obj
       228          0          0          0        136   rrlp_send_supl_msgs.obj
       392          0          0          0        308   rrlp_supl_hdlrs.obj
         0          0          0          0          0   rrlp_timer_hdlrs.obj
     25766         22          4      15168      19808   TOTAL

