
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0       1176          0          0          0   sim_const.obj
       196         20          0          0        240   sim_create.obj
     10768          0          0          0       3440   sim_driver_interfaces.obj
     16318         80          0          0       5856   sim_handler.obj
       400          0          0       1056        256   sim_init.obj
       620          0          0          0         80   sim_main.obj
     26360         22          0          0       7344   sim_toolkit.obj
      1560          0          0          0        840   usim_fcp_parser.obj
      5756         70          0          0       1128   usim_handler.obj
     61978       1368          0       1056      19184   TOTAL

