
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       970         11          0          0        436   sm_activation.obj
     12324          0          0          0       5652   sm_common.obj
        84         20          0          0        116   sm_create.obj
         0        288          0          0          0   sm_data_plane_config.obj
       218          0          0          0        180   sm_data_plane_only.obj
      1700          0          0          0        608   sm_deactivation.obj
       232          0          0          0         68   sm_deinit.obj
       912          0          0          0        448   sm_fsm.obj
      2260          0          0          0       1236   sm_general.obj
       408          0          0       2044        140   sm_init.obj
       166          0          0          0        112   sm_main.obj
       388          0          0          0        136   sm_modification.obj
      5678        320          0          0       2452   sm_peer.obj
       856          2          0          0        760   sm_protocol_error.obj
         0          0          0          0          0   sm_test_code.obj
      1496         20          0          0        896   sm_timer.obj
     27692        661          0       2044      13240   TOTAL

