
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       356          0          0          0        256   sms_cm.obj
      1208          0          0          0        956   sms_cm_dl_funcs.obj
      1176        200          0          0        724   sms_cm_fsm.obj
      1244          0          0          0       1104   sms_cm_ul_funcs.obj
        84         20          0          0        116   sms_create.obj
       344          0          0       4940        128   sms_main.obj
       632          0          0          0        676   sms_other_funcs.obj
      1828          0          0          0        692   sms_rl_dl_funcs.obj
      1240        160          0          0        824   sms_rl_fsm.obj
      1312          0          0          0        928   sms_rl_ul_funcs.obj
      1500         32          0          0        960   sms_timer.obj
       328          0          0          0        304   sms_tl.obj
      1070          0          0          0        924   sms_tl_dl_funcs.obj
       188         80          0          0        252   sms_tl_fsm.obj
      1144          0          0          0        600   sms_tl_ul_funcs.obj
     13654        492          0       4940       9444   TOTAL

