
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      5956          4          0          0       1996   soc_abm.obj
      7204          0          0          0       3348   soc_api.obj
      2226          0          0          0       1096   soc_app.obj
      8212          0          0          0       3168   soc_common.obj
        84         20          0          0        116   soc_create.obj
      5448          0          0          0       2144   soc_dns.obj
         0          0          4          0          0   soc_feature.obj
       276          0          0          0        192   soc_flc.obj
       324          0          0       1624        192   soc_main.obj
         0          0          0          0          0   soc_sms.obj
      2964          0          0          0       1464   soc_tcpip.obj
       904          0          0          0        524   soc_timer.obj
         0          0          0          0          0   soc_ut.obj
     33598         24          4       1624      14240   TOTAL

