
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1484          0          0          0     415285   ADIE_Eint.obj
       530          4          0         16     321544   ADIE_intrCtrl.obj
        22          0          0         12     273828   AP_BtSS.obj
        20          0          0          0     275588   AP_CSCI_dynamic.obj
      2638          0          2        784     460829   Eint.obj
       166          0         48          1     477952   FTL.obj
         0          0          0          0       1430   arm11_pmu_montr.obj
       976          0          0          0       1142   arm_unaligned.obj
       490          0          4          8     331331   armlibc_rt.obj
       720          0          0         32     315958   armlibc_rt_heap.obj
       396         23         12         12     300598   armlibc_rt_io.obj
         0          0          0          0     277029   boot_cert_pattern.obj
       784          0         20       5688        400   bootarm.obj
       204          0          0          0      11017   br_GFH_file_info.obj
       194          0          0          0      12867   br_GFH_parser.obj
      2390         60          0         32     314714   cache.obj
      8332        128         20       1180     337646   cbr.obj
       140          0          0       2052     289892   cbr_util.obj
         2          0          0          0       5222   code_decompression_hal.obj
         0          0          0          0         18   cp15.obj
       430          0          4         16     477334   dcm.obj
        80          0          0          0     285386   dcm_service.obj
        14          0          0          0     287472   dcmgr_pl.obj
      2410         24         36         32     479859   dma.obj
       246         12          0         24     282068   emi.obj
        28          0          0          0       6030   event_timer.obj
         4          0          0          4     277952   excep_hdlr.obj
        26          0          0          0     336971   fault.obj
        52         20          0          4     314986   idle_task.obj
       200          0          0          0     423782   info.obj
      1560         11         13        148     531006   init.obj
       626         20          0          0     516702   init_comm.obj
       554          0          0        392     287258   init_memory_stack.obj
       216          0          0          0     283826   init_trc.obj
      1458         55          2        164     287825   intrCtrl.obj
       288          0          0          0        602   irq.obj
       582          0          2        760     451557   isrentry.obj
        24        776          0          0     412289   maui_GFH_body.obj
         0          0          0          0         18   misc.obj
         0          0          0          0     429194   nfb_loader.obj
         2          0          0          0     283724   pdn.obj
         0          0          0          0     283379   pdnoldarch.obj
       228          0          0          0     286770   pll.obj
      1480          0          0          0        342   regioninit_ads.obj
       136          0          0         16     468171   sleep.obj
       104          0          0          0        312   stack.obj
         0          0          0          0     276835   third_rom_res.obj
       172          0          0         16     273989   uscounter.obj
         0         20          0          0       5787   viva.obj
     30408       1153        163      11393   12675716   TOTAL

