
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      5508          0          0          0       1864   tls_api.obj
       324          0          0          0        228   tls_app.obj
       620          0          0          0        336   tls_callbacks.obj
      1704          0          0          0        520   tls_certman.obj
      2370          0          0       4912       1468   tls_common.obj
       124          0         20       7504        172   tls_create.obj
      1362          0          0          0        732   tls_fs.obj
      1196          0          0          0        360   tls_handshake.obj
       100          0          0       3065         64   tls_init.obj
        84          0          0          0         60   tls_main.obj
         8          0          0          0        208   tls_mmi_certman.obj
       516          0          0          0        260   tls_socket.obj
       898          0          9          0        696   tls_ssl.obj
     14814          0         29      15481       6968   TOTAL

