
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   otg.obj
         0          0          0          0          0   ptp_state.obj
      2808         14          0       1560       1741   usb.obj
      1344          0          0          0       2902   usb_adap.obj
         0          0          0          0          0   usb_debug_tool.obj
         0          0          0          0          0   usb_host_acm_drv.obj
         0          0          0          0          0   usb_host_default_drv.obj
         0          0          0          0          0   usb_host_ms_adap.obj
         0          0          0          0          0   usb_host_ms_drv.obj
         0          0          0          0          0   usb_host_ms_state.obj
      1668          0          0         13        955   usb_mode.obj
      1196         31          0         92       1023   usb_resource.obj
      1726         20          0         43        776   usb_task.obj
      3576         20          0          0       1420   usbacm_adap.obj
      4750         37          1        490       4547   usbacm_drv.obj
         0          0          0          0          0   usbacm_echo.obj
       468          0          0          0        541   usbacm_ft.obj
         0          0          0          0          0   usbacm_logging.obj
         0          0          0          0          0   usbd.obj
         0          0          0          0          0   usbimage_drv.obj
         0          0          0          0          0   usbimage_mtp_state.obj
       520          0          0         56        625   usbms_adap.obj
      1210          9          0        112        954   usbms_drv.obj
      2418          0         78         24        962   usbms_state.obj
         0          0          0          0          0   usbvideo_drv.obj
         0          0          0          0          0   usbvideo_state.obj
     21684        131         79       2390      16446   TOTAL

