
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   custom_video_enc.obj
         0          0          0          0          0   custom_video_enc_h264.obj
         0          0          0          0          0   custom_video_enc_matv.obj
         0          0          0          0          0   custom_video_enc_matv_mjpeg.obj
         0          0          0          0          0   custom_video_enc_mjpeg.obj
         0          0          0          0          0   custom_video_enc_mpeg4.obj
         0          0          0          0          0   custom_video_enc_utility.obj
         0          0          0          0          0   custom_video_enc_vt.obj
        18         20          0          0        156   vcodec_main.obj
        18         20          0          0        156   vcodec_v2_main.obj
        86         20          0          0        271   vfile_main.obj
       752          0          0          0       1278   video_codec_utility_v2.obj
         0          0          0          0          0   video_renderer_task_thread_pool.obj
        86         20          0          0        271   vsrc_main.obj
       960         80          0          0       2132   TOTAL

